category,tweet,id
0,im hungry but its like once i take one bite of something im not hungry anymore #ok,745600
0,@reganer24 need stop stop retweeting food im hungry now,745601
0,eat the cake eat the cake eat the cake anna mae,745602
1,im so hungry,745603
0,when you see a chick getting fingered at the lunch table ,745604
0,some good pussy to eat would be clutch right now though,745605
0,forgot to tag @southcak2001 in my lunch post ,745606
0,i dont play sports because i like food i enjoy eating sleeping and being fat i hate being sore and sweaty,745607
0,@callmedougie eat ass from the back,745608
0,@canigetarefill @turnthepaige she aint offer you food you tried to take it,745609
0,i bet taytay fucking every body food up llf,745610
0,surprised me with some food dang i literally have the best girl ever @iika16,745611
0,this weekend going to e trying a honduran recipe for beef tongue really excited and of course pictures of the food will be delivered,745612
0,@willyh910 live more eat more tacos,745613
0,@kenslipowell i cant find my munchies you left them here travis might have eaten them though ,745614
1,im so hungry,745615
0,i want a mushroom and pepperoni pizza ,745616
1,im so hungry,745617
0,ima have leftover pizza for breakfast,745618
0,#newsatquestions the pizza is the pizza for you and mea pizza hut b krusty krabc papa johns d dominos @thatssorenee94,745619
1,i wanna get up and find something to eat but im glued to this bed,745620
0,do unicorns exist im seriously wondering if there like cool penguins like is there a way for food to teleport like why,745621
0,#norunningallowed thats my new thing when im eating im eating and im gonna eat till im full p and you better not push away ,745622
1,im hungry ,745623
0,soooo hungry i want to eat at waffle house,745624
0,@obeeyjennyy wana chill like at 2ish for lunch ,745625
0,overtime lets eat #volsbaksetball @volhoops,745626
0,@vinniesomeelse bruh im just letting these people know and she can vogue for me i eat it good lmfaooooo,745627
0,im tryna have my cake and eat it too,745628
0,lunch date w/ keona soon #excited,745629
0,@yessurr that eat food,745630
0,@yessurr food lion my dude,745631
0,i got my grapes and i ate them grapes,745632
0,fresh shower now time to eat and watch this movie,745633
1,mad hungry rn,745634
1,@pizzahut thinking about you makes me super hungry ,745635
0,i done came home and took a fye ass shower and i came home to some fye ass food yaaaaaaaass,745636
0,but i gotta eat by myself ,745637
0,im mad at yall some of yall liked ding dang pic of pizza but not all my other pics im gonna need you to say oh chit sorry ,745638
0,when im not on a headache cycle i go to the gym almost everyday when i am on a headache cycle i eat a pack of pop tarts everyday,745639
0,why as soon as i get in bed my stomach is like nooooo i need food stop it go to bed,745640
0,@bigdaddyke dalon real aggy on my tl like go eat some chicken strips or something,745641
0,time to eat everything in this house,745642
0,@jessib125 oh yea lmao how could i forget duhhhhh we use to eat those like candy,745643
