negative,message
0,@_Shavionn Verizon but u can switch it doe
0,Me and lancegross at the #PotentialOfUs event at harrahsnola! #Verizon @ Harrah's Casino New Orleans http://t.co/vo6Ut27qh7
0,@Seagulls74 Jervis bay sprint triathlon. One week today. Just off to swim across this for training #bewareofthesharks http://t.co/E1dYKC72DE
0,NEW OTHER VERIZON 4G LTE MOTOROLA DROID RAZR HD XT926 WHITE NO CONTRACT PHONE http://t.co/Ozlr6OZD0G #android
0,Verizon+Time Warner isn't the biggest threat to #Internetfreedom
0,"NASCAR Sprint Unlimited 2014: Drivers, lineup and starting grid - SB Nation http://t.co/YB3snuF9vd - #SportsTapApp"
0,JASON ALDEAN Tickets Aug 22 at Verizon Wireless Amp http://t.co/kmfiuqgvck in Maryland Heights MO #jasonaldean #burnitdowntour
1,"@verizon phone customer support useless, rude, uninformed. Hope Twitter support can help soon. Have wasted too much of my time."
1,I'm still trying to figure out how Verizon is saving money by cutting unlimited data.
0,#ARCA is just a bunch of old cars Sprint Cup teams couldn't get rid of when they changed to the COT
1,@JediPrince84 man if I could I would have waived the whole 500 bill and every eft shit bigger than sprint that's real life shit smfh
0,Shayna in a classic sprint heat. Highly competitive racing. http://t.co/77XX5hvoZW
0,Gotta move on and stay focused...life ain't a sprint...it's a long ass fuckin marathon...I ain't even halfway through
0,"@MrMeritology Looks like some people are, e.g.: http://t.co/3uDCmAw6qO"
0,White iPhone 5 for sale it's with Verizon
0,RT @StewartHaasRcng: Ride along with Kevin Harvick in tonight's Sprint Unlimited courtesy of Jimmy John's in-car camera. http://t.co/4rk4x4
0,Is there anyway to watch the Sprint Unlimited legally if you don't get Fox Sports 1? Is @nascar streaming or anything?
0,@margy_york I switched to t-mobile so I wasn't paying 95 a month!
1,"Sprint can have this mf'n phone back, I'm going to T-Mobile"
1,"Turned off wifi just to see if sprint worked, usually doesnt. But it is usable, slow, but usable. That sadly makes me happy."
0,T-Mobile to Expand Early-Upgrade 'Jump' Plan Feb. 23: Looking to upgrade your T-Mobile smartphone a ton of tim... http://t.co/BwuLuiR2YB
0,"I still go to Hannafords, steal the free cookies and sprint away "
0,RT @charsykora: Spending my last minutes in Verizon playing flappy bird before my phone upgrade and I can't anymore. I feel like I'm going
1,RT @_veronicaa14: @KevinSycho: Sprint fucking sucks ass RT!
0,RT @dillonglides: Shayna in a classic sprint heat. Highly competitive racing. http://t.co/77XX5hvoZW
0,@TexasYella I left them for Verizon and Verizon for T-Mobile..shit good over here
0,#TeamEast and #TeamWest took to the court at @Sprint Arena here at #NBAJamSession today! Check out the highlights! http://t.co/QVBSpmj0jM
1,All but #crappy #TMobile @TMobileHelp not #approved  http://t.co/MXhzoMPATb
1,Phone insurance through Verizon is a scam.
1,"I expect so little from sprint, that ability to text and load text surprises me. Hah"
0,im at the verizon store and http://t.co/sXhvFmdxii
0,"On the bright side, I get LTE out here. Sprint is stepping it up"
1,whats good with bum ass sprint users service acting up today.
0,"Got a Titanfall beta code this evening, going to dl before the Sprint Unlimited race."
0,How much does it cost to cut yur tmobile sim card ? Anyone
0,Code Day KC is underway at the Sprint Accelerator space. About 60 young adults have come out to be part of this... http://t.co/bMzzM32dTG
0,It was scary. I knew for the first time in a long time what it feels like to be slow. It was like when you're dreaming but can't sprint
1,@TexasYella babe that's crazy......like gone ahead and divorce sprint and go to tmobile
0,RT @Liamurhot: im at the verizon store and http://t.co/sXhvFmdxii
0,At the Verizon store and saw one of these. Didn't know they still existed??? http://t.co/hrGQhfilXf
